Topic	judge	user	keypad	vote	speed
1330881980	Judge20120304053914	46	63	2	0.0
1330881980	Judge20120304053914	34	125	1	0.0
1330881980	Judge20120304053914	85	122	1	0.0
1330881980	Judge20120304053914	111	23	1	0.0
1330881980	Judge20120304053914	22	93	1	0.0
1330881980	Judge20120304053914	107	163	2	0.0
1330881980	Judge20120304053914	79	30	2	0.0
1330881980	Judge20120304053914	70	124	2	0.0
1330881980	Judge20120304053914	97	89	1	0.0
1330881980	Judge20120304053914	51	74	2	0.0
1330881980	Judge20120304053914	7	95	2	0.0
1330881980	Judge20120304053914	48	156	1	0.0
1330881980	Judge20120304053914	98	90	2	0.0
1330881980	Judge20120304053914	63	22	2	0.0
1330881980	Judge20120304053914	15	68	2	0.0
Topic	judge	user	keypad	vote	speed
1330882002	Judge20120304053914	33	113	1	0.0
1330882002	Judge20120304053914	113	167	2	0.0
1330882002	Judge20120304053914	36	126	2	0.0
1330882002	Judge20120304053914	37	99	1	0.0
1330882002	Judge20120304053914	72	165	1	0.0
1330882002	Judge20120304053914	19	46	2	0.0
1330882002	Judge20120304053914	35	128	2	0.0
1330882002	Judge20120304053914	109	164	1	0.0
1330882002	Judge20120304053914	107	163	2	0.0
1330882002	Judge20120304053914	83	121	1	0.0
1330882002	Judge20120304053914	98	90	2	0.0
1330882002	Judge20120304053914	86	32	1	0.0
1330882002	Judge20120304053914	42	52	2	0.0
1330882002	Judge20120304053914	40	101	1	0.0
1330882002	Judge20120304053914	57	86	2	0.0
1330882002	Judge20120304053914	45	61	2	0.0
1330882002	Judge20120304053914	65	14	1	0.0
1330882002	Judge20120304053914	60	111	2	0.0
1330882002	Judge20120304053914	14	58	2	0.0
1330882002	Judge20120304053914	20	45	2	0.0
1330882002	Judge20120304053914	23	91	2	0.0
1330882002	Judge20120304053914	34	125	1	0.0
1330882002	Judge20120304053914	93	55	2	0.0
1330882002	Judge20120304053914	18	112	2	0.0
1330882002	Judge20120304053914	5	104	2	0.0
1330882002	Judge20120304053914	66	16	1	0.0
1330882002	Judge20120304053914	55	3	1	0.0
1330882002	Judge20120304053914	89	35	1	0.0
1330882002	Judge20120304053914	68	134	1	0.0
1330882002	Judge20120304053914	84	31	2	0.0
1330882002	Judge20120304053914	59	115	1	0.0
1330882002	Judge20120304053914	112	158	2	0.0
1330882002	Judge20120304053914	12	66	2	0.0
1330882002	Judge20120304053914	15	68	1	0.0
1330882002	Judge20120304053914	29	43	2	0.0
1330882002	Judge20120304053914	87	41	1	0.0
1330882002	Judge20120304053914	85	122	2	0.0
1330882002	Judge20120304053914	27	42	2	0.0
1330882002	Judge20120304053914	69	20	2	0.0
1330882002	Judge20120304053914	92	8	2	0.0
1330882002	Judge20120304053914	102	87	2	0.0
1330882002	Judge20120304053914	100	21	2	0.0
1330882002	Judge20120304053914	61	114	1	0.0
1330882002	Judge20120304053914	56	47	1	0.0
1330882002	Judge20120304053914	39	117	2	0.0
1330882002	Judge20120304053914	21	44	1	0.0
1330882002	Judge20120304053914	110	5	1	0.0
1330882002	Judge20120304053914	88	15	1	0.0
1330882002	Judge20120304053914	101	62	1	0.0
1330882002	Judge20120304053914	114	73	2	0.0
1330882002	Judge20120304053914	76	118	1	0.0
1330882002	Judge20120304053914	73	85	2	0.0
1330882002	Judge20120304053914	28	7	2	0.0
1330882002	Judge20120304053914	6	103	1	0.0
1330882002	Judge20120304053914	97	89	1	0.0
1330882002	Judge20120304053914	17	34	2	0.0
1330882002	Judge20120304053914	77	92	1	0.0
1330882002	Judge20120304053914	1	57	2	0.0
1330882002	Judge20120304053914	80	157	2	0.0
1330882002	Judge20120304053914	70	124	2	0.0
1330882002	Judge20120304053914	11	69	1	0.0
1330882002	Judge20120304053914	4	39	2	0.0
1330882002	Judge20120304053914	94	67	1	0.0
1330882002	Judge20120304053914	41	53	2	0.0
1330882002	Judge20120304053914	43	108	2	0.0
1330882002	Judge20120304053914	3	59	2	0.0
1330882002	Judge20120304053914	2	38	2	0.0
1330882002	Judge20120304053914	51	74	1	0.0
1330882002	Judge20120304053914	25	78	1	0.0
1330882002	Judge20120304053914	50	48	2	0.0
1330882002	Judge20120304053914	7	95	1	0.0
1330882002	Judge20120304053914	104	166	2	0.0
1330882002	Judge20120304053914	63	22	2	0.0
1330882002	Judge20120304053914	79	30	1	0.0
1330882002	Judge20120304053914	108	159	2	0.0
1330882002	Judge20120304053914	30	6	1	0.0
1330882002	Judge20120304053914	67	110	2	0.0
1330882002	Judge20120304053914	111	23	2	0.0
1330882002	Judge20120304053914	90	13	1	0.0
1330882002	Judge20120304053914	48	156	2	0.0
1330882002	Judge20120304053914	103	172	2	0.0
1330882002	Judge20120304053914	22	93	2	0.0
1330882002	Judge20120304053914	99	88	2	0.0
Topic	judge	user	keypad	vote	speed
1330882023	Judge20120304053914	60	111	2	0.0
1330882023	Judge20120304053914	113	167	2	0.0
1330882023	Judge20120304053914	83	121	2	0.0
1330882023	Judge20120304053914	36	126	2	0.0
1330882023	Judge20120304053914	71	171	2	0.0
1330882023	Judge20120304053914	18	112	2	0.0
1330882023	Judge20120304053914	80	157	2	0.0
1330882023	Judge20120304053914	23	91	2	0.0
1330882023	Judge20120304053914	25	78	2	0.0
1330882023	Judge20120304053914	109	164	2	0.0
1330882023	Judge20120304053914	19	46	2	0.0
1330882023	Judge20120304053914	26	79	2	0.0
1330882023	Judge20120304053914	57	86	2	0.0
1330882023	Judge20120304053914	51	74	2	0.0
1330882023	Judge20120304053914	41	53	2	0.0
1330882023	Judge20120304053914	33	113	2	0.0
1330882023	Judge20120304053914	65	14	2	0.0
1330882023	Judge20120304053914	43	108	2	0.0
1330882023	Judge20120304053914	78	51	2	0.0
1330882023	Judge20120304053914	24	76	2	0.0
1330882023	Judge20120304053914	6	103	2	0.0
1330882023	Judge20120304053914	82	11	2	0.0
1330882023	Judge20120304053914	2	38	2	0.0
1330882023	Judge20120304053914	20	45	2	0.0
1330882023	Judge20120304053914	34	125	2	0.0
1330882023	Judge20120304053914	103	172	2	0.0
1330882023	Judge20120304053914	75	84	2	0.0
1330882023	Judge20120304053914	44	107	2	0.0
1330882023	Judge20120304053914	14	58	2	0.0
1330882023	Judge20120304053914	74	50	2	0.0
1330882023	Judge20120304053914	56	47	2	0.0
1330882023	Judge20120304053914	5	104	2	0.0
1330882023	Judge20120304053914	1	57	2	0.0
1330882023	Judge20120304053914	104	166	2	0.0
1330882023	Judge20120304053914	42	52	2	0.0
1330882023	Judge20120304053914	112	158	2	0.0
1330882023	Judge20120304053914	70	124	2	0.0
1330882023	Judge20120304053914	89	35	2	0.0
1330882023	Judge20120304053914	102	87	2	0.0
1330882023	Judge20120304053914	85	122	2	0.0
1330882023	Judge20120304053914	53	36	2	0.0
1330882023	Judge20120304053914	46	63	2	0.0
1330882023	Judge20120304053914	96	127	2	0.0
1330882023	Judge20120304053914	72	165	2	0.0
1330882023	Judge20120304053914	40	101	2	0.0
1330882023	Judge20120304053914	66	16	2	0.0
1330882023	Judge20120304053914	11	69	2	0.0
1330882023	Judge20120304053914	76	118	2	0.0
1330882023	Judge20120304053914	27	42	2	0.0
1330882023	Judge20120304053914	37	99	2	0.0
1330882023	Judge20120304053914	59	115	2	0.0
1330882023	Judge20120304053914	114	73	2	0.0
1330882023	Judge20120304053914	38	116	2	0.0
1330882023	Judge20120304053914	17	34	2	0.0
1330882023	Judge20120304053914	87	41	2	0.0
1330882023	Judge20120304053914	8	96	2	0.0
1330882023	Judge20120304053914	3	59	2	0.0
1330882023	Judge20120304053914	13	105	2	0.0
1330882023	Judge20120304053914	91	56	2	0.0
1330882023	Judge20120304053914	55	3	2	0.0
1330882023	Judge20120304053914	12	66	2	0.0
1330882023	Judge20120304053914	107	163	2	0.0
1330882023	Judge20120304053914	21	44	2	0.0
1330882023	Judge20120304053914	88	15	2	0.0
1330882023	Judge20120304053914	86	32	2	0.0
1330882023	Judge20120304053914	30	6	2	0.0
1330882023	Judge20120304053914	47	4	2	0.0
1330882023	Judge20120304053914	45	61	2	0.0
1330882023	Judge20120304053914	79	30	2	0.0
1330882023	Judge20120304053914	100	21	2	0.0
1330882023	Judge20120304053914	68	134	2	0.0
1330882023	Judge20120304053914	97	89	2	0.0
1330882023	Judge20120304053914	95	54	2	0.0
1330882023	Judge20120304053914	77	92	2	0.0
1330882023	Judge20120304053914	52	75	2	0.0
1330882023	Judge20120304053914	15	68	2	0.0
1330882023	Judge20120304053914	29	43	2	0.0
1330882023	Judge20120304053914	108	159	2	0.0
1330882023	Judge20120304053914	58	77	2	0.0
1330882023	Judge20120304053914	64	37	2	0.0
1330882023	Judge20120304053914	4	39	2	0.0
1330882023	Judge20120304053914	110	5	2	0.0
1330882023	Judge20120304053914	35	128	2	0.0
1330882023	Judge20120304053914	28	7	2	0.0
1330882023	Judge20120304053914	98	90	2	0.0
1330882023	Judge20120304053914	94	67	2	0.0
1330882023	Judge20120304053914	69	20	2	0.0
1330882023	Judge20120304053914	22	93	2	0.0
1330882023	Judge20120304053914	81	155	2	0.0
1330882023	Judge20120304053914	84	31	2	0.0
1330882023	Judge20120304053914	111	23	1	0.0
1330882023	Judge20120304053914	61	114	2	0.0
1330882023	Judge20120304053914	73	85	2	0.0
1330882023	Judge20120304053914	106	106	2	0.0
1330882023	Judge20120304053914	7	95	2	0.0
1330882023	Judge20120304053914	39	117	2	0.0
1330882023	Judge20120304053914	50	48	2	0.0
1330882023	Judge20120304053914	90	13	2	0.0
1330882023	Judge20120304053914	101	62	2	0.0
1330882023	Judge20120304053914	16	33	2	0.0
1330882023	Judge20120304053914	63	22	2	0.0
1330882023	Judge20120304053914	105	160	2	0.0
1330882023	Judge20120304053914	99	88	2	0.0
1330882023	Judge20120304053914	67	110	2	0.0
1330882023	Judge20120304053914	48	156	2	0.0
Topic	judge	user	keypad	vote	speed
1330882079	Judge20120304053914	33	113	1	0.0
1330882079	Judge20120304053914	42	52	1	0.0
1330882079	Judge20120304053914	41	53	1	0.0
1330882079	Judge20120304053914	19	46	1	0.0
1330882079	Judge20120304053914	91	56	1	0.0
1330882079	Judge20120304053914	89	35	2	0.0
1330882079	Judge20120304053914	111	23	1	0.0
1330882079	Judge20120304053914	63	22	1	0.0
1330882079	Judge20120304053914	66	16	2	0.0
1330882079	Judge20120304053914	96	127	2	0.0
1330882079	Judge20120304053914	64	37	1	0.0
1330882079	Judge20120304053914	100	21	1	0.0
1330882079	Judge20120304053914	14	58	1	0.0
1330882079	Judge20120304053914	113	167	2	0.0
1330882079	Judge20120304053914	104	166	1	0.0
1330882079	Judge20120304053914	25	78	1	0.0
1330882079	Judge20120304053914	16	33	1	0.0
1330882079	Judge20120304053914	76	118	1	0.0
1330882079	Judge20120304053914	12	66	1	0.0
1330882079	Judge20120304053914	85	122	1	0.0
1330882079	Judge20120304053914	59	115	1	0.0
1330882079	Judge20120304053914	35	128	2	0.0
1330882079	Judge20120304053914	10	64	1	0.0
1330882079	Judge20120304053914	72	165	1	0.0
1330882079	Judge20120304053914	37	99	2	0.0
1330882079	Judge20120304053914	92	8	1	0.0
1330882079	Judge20120304053914	83	121	1	0.0
1330882079	Judge20120304053914	81	155	1	0.0
1330882079	Judge20120304053914	38	116	1	0.0
1330882079	Judge20120304053914	93	55	1	0.0
1330882079	Judge20120304053914	2	38	1	0.0
1330882079	Judge20120304053914	73	85	1	0.0
1330882079	Judge20120304053914	55	3	1	0.0
1330882079	Judge20120304053914	86	32	1	0.0
1330882079	Judge20120304053914	31	98	1	0.0
1330882079	Judge20120304053914	34	125	1	0.0
1330882079	Judge20120304053914	50	48	2	0.0
1330882079	Judge20120304053914	68	134	2	0.0
1330882079	Judge20120304053914	22	93	1	0.0
1330882079	Judge20120304053914	45	61	1	0.0
1330882079	Judge20120304053914	36	126	2	0.0
1330882079	Judge20120304053914	114	73	1	0.0
1330882079	Judge20120304053914	9	65	1	0.0
1330882079	Judge20120304053914	53	36	1	0.0
1330882079	Judge20120304053914	87	41	1	0.0
1330882079	Judge20120304053914	21	44	2	0.0
1330882079	Judge20120304053914	13	105	1	0.0
1330882079	Judge20120304053914	65	14	2	0.0
1330882079	Judge20120304053914	24	76	1	0.0
1330882079	Judge20120304053914	5	104	2	0.0
1330882079	Judge20120304053914	75	84	1	0.0
1330882079	Judge20120304053914	60	111	2	0.0
1330882079	Judge20120304053914	101	62	1	0.0
1330882079	Judge20120304053914	88	15	2	0.0
1330882079	Judge20120304053914	56	47	2	0.0
1330882079	Judge20120304053914	61	114	1	0.0
1330882079	Judge20120304053914	106	106	2	0.0
1330882079	Judge20120304053914	112	158	1	0.0
1330882079	Judge20120304053914	20	45	1	0.0
1330882079	Judge20120304053914	69	20	1	0.0
1330882079	Judge20120304053914	95	54	2	0.0
1330882079	Judge20120304053914	8	96	1	0.0
1330882079	Judge20120304053914	98	90	1	0.0
1330882079	Judge20120304053914	32	97	1	0.0
1330882079	Judge20120304053914	57	86	1	0.0
1330882079	Judge20120304053914	74	50	1	0.0
1330882079	Judge20120304053914	44	107	1	0.0
1330882079	Judge20120304053914	70	124	1	0.0
1330882079	Judge20120304053914	103	172	2	0.0
1330882079	Judge20120304053914	49	49	1	0.0
1330882079	Judge20120304053914	77	92	1	0.0
1330882079	Judge20120304053914	18	112	1	0.0
1330882079	Judge20120304053914	110	5	1	0.0
1330882079	Judge20120304053914	4	39	1	0.0
1330882079	Judge20120304053914	7	95	1	0.0
1330882079	Judge20120304053914	51	74	1	0.0
1330882079	Judge20120304053914	39	117	1	0.0
1330882079	Judge20120304053914	79	30	2	0.0
1330882079	Judge20120304053914	43	108	2	0.0
1330882079	Judge20120304053914	40	101	1	0.0
1330882079	Judge20120304053914	17	34	2	0.0
1330882079	Judge20120304053914	26	79	1	0.0
1330882079	Judge20120304053914	84	31	1	0.0
1330882079	Judge20120304053914	108	159	1	0.0
1330882079	Judge20120304053914	80	157	2	0.0
1330882079	Judge20120304053914	27	42	1	0.0
1330882079	Judge20120304053914	102	87	1	0.0
1330882079	Judge20120304053914	29	43	1	0.0
1330882079	Judge20120304053914	11	69	1	0.0
1330882079	Judge20120304053914	46	63	1	0.0
1330882079	Judge20120304053914	48	156	1	0.0
1330882079	Judge20120304053914	97	89	1	0.0
1330882079	Judge20120304053914	15	68	1	0.0
1330882079	Judge20120304053914	47	4	2	0.0
1330882079	Judge20120304053914	99	88	1	0.0
Topic	judge	user	keypad	vote	speed
1330882101	Judge20120304053914	73	85	1	0.0
1330882101	Judge20120304053914	45	61	1	0.0
1330882101	Judge20120304053914	113	167	2	0.0
1330882101	Judge20120304053914	4	39	1	0.0
1330882101	Judge20120304053914	5	104	2	0.0
1330882101	Judge20120304053914	71	171	2	0.0
1330882101	Judge20120304053914	51	74	1	0.0
1330882101	Judge20120304053914	47	4	2	0.0
1330882101	Judge20120304053914	33	113	1	0.0
1330882101	Judge20120304053914	75	84	1	0.0
1330882101	Judge20120304053914	69	20	2	0.0
1330882101	Judge20120304053914	55	3	2	0.0
1330882101	Judge20120304053914	57	86	2	0.0
1330882101	Judge20120304053914	19	46	2	0.0
1330882101	Judge20120304053914	24	76	2	0.0
1330882101	Judge20120304053914	28	7	1	0.0
1330882101	Judge20120304053914	42	52	1	0.0
1330882101	Judge20120304053914	84	31	1	0.0
1330882101	Judge20120304053914	87	41	1	0.0
1330882101	Judge20120304053914	43	108	2	0.0
1330882101	Judge20120304053914	103	172	2	0.0
1330882101	Judge20120304053914	25	78	2	0.0
1330882101	Judge20120304053914	90	13	2	0.0
1330882101	Judge20120304053914	38	116	1	0.0
1330882101	Judge20120304053914	88	15	2	0.0
1330882101	Judge20120304053914	3	59	1	0.0
1330882101	Judge20120304053914	83	121	1	0.0
1330882101	Judge20120304053914	59	115	2	0.0
1330882101	Judge20120304053914	41	53	2	0.0
1330882101	Judge20120304053914	64	37	1	0.0
1330882101	Judge20120304053914	36	126	1	0.0
1330882101	Judge20120304053914	101	62	2	0.0
1330882101	Judge20120304053914	60	111	2	0.0
1330882101	Judge20120304053914	82	11	1	0.0
1330882101	Judge20120304053914	6	103	1	0.0
1330882101	Judge20120304053914	53	36	1	0.0
1330882101	Judge20120304053914	14	58	2	0.0
1330882101	Judge20120304053914	27	42	2	0.0
1330882101	Judge20120304053914	10	64	1	0.0
1330882101	Judge20120304053914	109	164	2	0.0
1330882101	Judge20120304053914	52	75	1	0.0
1330882101	Judge20120304053914	1	57	2	0.0
1330882101	Judge20120304053914	66	16	2	0.0
1330882101	Judge20120304053914	111	23	1	0.0
1330882101	Judge20120304053914	32	97	1	0.0
1330882101	Judge20120304053914	30	6	2	0.0
1330882101	Judge20120304053914	15	68	1	0.0
1330882101	Judge20120304053914	2	38	2	0.0
1330882101	Judge20120304053914	22	93	1	0.0
1330882101	Judge20120304053914	18	112	2	0.0
1330882101	Judge20120304053914	61	114	1	0.0
1330882101	Judge20120304053914	107	163	2	0.0
1330882101	Judge20120304053914	50	48	2	0.0
1330882101	Judge20120304053914	93	55	1	0.0
1330882101	Judge20120304053914	70	124	2	0.0
1330882101	Judge20120304053914	95	54	2	0.0
1330882101	Judge20120304053914	13	105	1	0.0
1330882101	Judge20120304053914	65	14	1	0.0
1330882101	Judge20120304053914	67	110	2	0.0
1330882101	Judge20120304053914	11	69	1	0.0
1330882101	Judge20120304053914	34	125	1	0.0
1330882101	Judge20120304053914	102	87	2	0.0
1330882101	Judge20120304053914	77	92	1	0.0
1330882101	Judge20120304053914	98	90	2	0.0
1330882101	Judge20120304053914	106	106	1	0.0
1330882101	Judge20120304053914	108	159	2	0.0
1330882101	Judge20120304053914	74	50	1	0.0
1330882101	Judge20120304053914	40	101	1	0.0
1330882101	Judge20120304053914	114	73	2	0.0
1330882101	Judge20120304053914	39	117	1	0.0
1330882101	Judge20120304053914	76	118	1	0.0
1330882101	Judge20120304053914	37	99	2	0.0
1330882101	Judge20120304053914	86	32	1	0.0
1330882101	Judge20120304053914	94	67	1	0.0
1330882101	Judge20120304053914	20	45	2	0.0
1330882101	Judge20120304053914	44	107	1	0.0
1330882101	Judge20120304053914	29	43	2	0.0
1330882101	Judge20120304053914	49	49	2	0.0
1330882101	Judge20120304053914	97	89	2	0.0
1330882101	Judge20120304053914	16	33	1	0.0
1330882101	Judge20120304053914	26	79	1	0.0
1330882101	Judge20120304053914	8	96	1	0.0
1330882101	Judge20120304053914	104	166	1	0.0
1330882101	Judge20120304053914	17	34	1	0.0
1330882101	Judge20120304053914	89	35	1	0.0
1330882101	Judge20120304053914	23	91	1	0.0
1330882101	Judge20120304053914	85	122	1	0.0
1330882101	Judge20120304053914	80	157	2	0.0
1330882101	Judge20120304053914	81	155	2	0.0
1330882101	Judge20120304053914	105	160	2	0.0
1330882101	Judge20120304053914	112	158	2	0.0
1330882101	Judge20120304053914	7	95	2	0.0
1330882101	Judge20120304053914	100	21	1	0.0
1330882101	Judge20120304053914	110	5	1	0.0
1330882101	Judge20120304053914	48	156	2	0.0
1330882101	Judge20120304053914	99	88	1	0.0
Topic	judge	user	keypad	vote	speed
1330882141	Judge20120304053914	69	20	2	0.0
1330882141	Judge20120304053914	73	85	2	0.0
1330882141	Judge20120304053914	64	37	2	0.0
1330882141	Judge20120304053914	60	111	2	0.0
1330882141	Judge20120304053914	75	84	2	0.0
1330882141	Judge20120304053914	90	13	2	0.0
1330882141	Judge20120304053914	71	171	2	0.0
1330882141	Judge20120304053914	25	78	2	0.0
1330882141	Judge20120304053914	65	14	2	0.0
1330882141	Judge20120304053914	100	21	2	0.0
1330882141	Judge20120304053914	66	16	2	0.0
1330882141	Judge20120304053914	1	57	2	0.0
1330882141	Judge20120304053914	96	127	2	0.0
1330882141	Judge20120304053914	45	61	2	0.0
1330882141	Judge20120304053914	35	128	2	0.0
1330882141	Judge20120304053914	23	91	2	0.0
1330882141	Judge20120304053914	112	158	2	0.0
1330882141	Judge20120304053914	41	53	2	0.0
1330882141	Judge20120304053914	114	73	2	0.0
1330882141	Judge20120304053914	14	58	2	0.0
1330882141	Judge20120304053914	17	34	2	0.0
1330882141	Judge20120304053914	78	51	2	0.0
1330882141	Judge20120304053914	36	126	2	0.0
1330882141	Judge20120304053914	83	121	2	0.0
1330882141	Judge20120304053914	47	4	2	0.0
1330882141	Judge20120304053914	85	122	2	0.0
1330882141	Judge20120304053914	30	6	2	0.0
1330882141	Judge20120304053914	55	3	2	0.0
1330882141	Judge20120304053914	26	79	2	0.0
1330882141	Judge20120304053914	113	167	2	0.0
1330882141	Judge20120304053914	4	39	2	0.0
1330882141	Judge20120304053914	84	31	1	0.0
1330882141	Judge20120304053914	87	41	2	0.0
1330882141	Judge20120304053914	105	160	2	0.0
1330882141	Judge20120304053914	2	38	2	0.0
1330882141	Judge20120304053914	21	44	2	0.0
1330882141	Judge20120304053914	24	76	2	0.0
1330882141	Judge20120304053914	89	35	2	0.0
1330882141	Judge20120304053914	10	64	2	0.0
1330882141	Judge20120304053914	28	7	2	0.0
1330882141	Judge20120304053914	27	42	2	0.0
1330882141	Judge20120304053914	59	115	2	0.0
1330882141	Judge20120304053914	19	46	2	0.0
1330882141	Judge20120304053914	18	112	2	0.0
1330882141	Judge20120304053914	72	165	2	0.0
1330882141	Judge20120304053914	8	96	2	0.0
1330882141	Judge20120304053914	57	86	2	0.0
1330882141	Judge20120304053914	88	15	2	0.0
1330882141	Judge20120304053914	106	106	2	0.0
1330882141	Judge20120304053914	58	77	2	0.0
1330882141	Judge20120304053914	95	54	2	0.0
1330882141	Judge20120304053914	20	45	2	0.0
1330882141	Judge20120304053914	68	134	2	0.0
1330882141	Judge20120304053914	46	63	2	0.0
1330882141	Judge20120304053914	91	56	2	0.0
1330882141	Judge20120304053914	53	36	2	0.0
1330882141	Judge20120304053914	5	104	2	0.0
1330882141	Judge20120304053914	70	124	2	0.0
1330882141	Judge20120304053914	98	90	2	0.0
1330882141	Judge20120304053914	97	89	2	0.0
1330882141	Judge20120304053914	81	155	1	0.0
1330882141	Judge20120304053914	67	110	2	0.0
1330882141	Judge20120304053914	50	48	2	0.0
1330882141	Judge20120304053914	44	107	1	0.0
1330882141	Judge20120304053914	92	8	2	0.0
1330882141	Judge20120304053914	39	117	2	0.0
1330882141	Judge20120304053914	51	74	2	0.0
1330882141	Judge20120304053914	102	87	2	0.0
1330882141	Judge20120304053914	32	97	2	0.0
1330882141	Judge20120304053914	56	47	2	0.0
1330882141	Judge20120304053914	15	68	2	0.0
1330882141	Judge20120304053914	34	125	2	0.0
1330882141	Judge20120304053914	22	93	2	0.0
1330882141	Judge20120304053914	37	99	2	0.0
1330882141	Judge20120304053914	101	62	2	0.0
1330882141	Judge20120304053914	82	11	2	0.0
1330882141	Judge20120304053914	110	5	2	0.0
1330882141	Judge20120304053914	108	159	2	0.0
1330882141	Judge20120304053914	38	116	2	0.0
1330882141	Judge20120304053914	9	65	2	0.0
1330882141	Judge20120304053914	29	43	2	0.0
1330882141	Judge20120304053914	77	92	2	0.0
1330882141	Judge20120304053914	16	33	2	0.0
1330882141	Judge20120304053914	103	172	2	0.0
1330882141	Judge20120304053914	13	105	2	0.0
1330882141	Judge20120304053914	42	52	2	0.0
1330882141	Judge20120304053914	63	22	2	0.0
1330882141	Judge20120304053914	12	66	2	0.0
1330882141	Judge20120304053914	99	88	2	0.0
1330882141	Judge20120304053914	80	157	1	0.0
1330882141	Judge20120304053914	40	101	2	0.0
1330882141	Judge20120304053914	109	164	2	0.0
1330882141	Judge20120304053914	61	114	2	0.0
1330882141	Judge20120304053914	48	156	1	0.0
1330882141	Judge20120304053914	7	95	2	0.0
Topic	judge	user	keypad	vote	speed
1330882173	Judge20120304053914	68	134	2	0.0
1330882173	Judge20120304053914	19	46	1	0.0
1330882173	Judge20120304053914	57	86	2	0.0
1330882173	Judge20120304053914	102	87	1	0.0
1330882173	Judge20120304053914	45	61	1	0.0
1330882173	Judge20120304053914	104	166	1	0.0
1330882173	Judge20120304053914	84	31	1	0.0
1330882173	Judge20120304053914	4	39	1	0.0
1330882173	Judge20120304053914	10	64	2	0.0
1330882173	Judge20120304053914	17	34	1	0.0
1330882173	Judge20120304053914	28	7	1	0.0
1330882173	Judge20120304053914	106	106	1	0.0
1330882173	Judge20120304053914	59	115	2	0.0
1330882173	Judge20120304053914	2	38	1	0.0
1330882173	Judge20120304053914	112	158	1	0.0
1330882173	Judge20120304053914	42	52	1	0.0
1330882173	Judge20120304053914	44	107	1	0.0
1330882173	Judge20120304053914	49	49	1	0.0
1330882173	Judge20120304053914	1	57	1	0.0
1330882173	Judge20120304053914	83	121	1	0.0
1330882173	Judge20120304053914	33	113	1	0.0
1330882173	Judge20120304053914	89	35	1	0.0
1330882173	Judge20120304053914	62	100	2	0.0
1330882173	Judge20120304053914	90	13	1	0.0
1330882173	Judge20120304053914	61	114	1	0.0
1330882173	Judge20120304053914	94	67	1	0.0
1330882173	Judge20120304053914	39	117	2	0.0
1330882173	Judge20120304053914	34	125	1	0.0
1330882173	Judge20120304053914	12	66	1	0.0
1330882173	Judge20120304053914	69	20	2	0.0
1330882173	Judge20120304053914	51	74	1	0.0
1330882173	Judge20120304053914	95	54	1	0.0
1330882173	Judge20120304053914	43	108	2	0.0
1330882173	Judge20120304053914	35	128	1	0.0
1330882173	Judge20120304053914	92	8	1	0.0
1330882173	Judge20120304053914	23	91	1	0.0
1330882173	Judge20120304053914	29	43	1	0.0
1330882173	Judge20120304053914	85	122	1	0.0
1330882173	Judge20120304053914	46	63	1	0.0
1330882173	Judge20120304053914	21	44	1	0.0
1330882173	Judge20120304053914	98	90	2	0.0
1330882173	Judge20120304053914	16	33	1	0.0
1330882173	Judge20120304053914	72	165	2	0.0
1330882173	Judge20120304053914	55	3	1	0.0
1330882173	Judge20120304053914	5	104	1	0.0
1330882173	Judge20120304053914	91	56	2	0.0
1330882173	Judge20120304053914	38	116	2	0.0
1330882173	Judge20120304053914	71	171	1	0.0
1330882173	Judge20120304053914	75	84	1	0.0
1330882173	Judge20120304053914	18	112	1	0.0
1330882173	Judge20120304053914	27	42	1	0.0
1330882173	Judge20120304053914	52	75	1	0.0
1330882173	Judge20120304053914	58	77	2	0.0
1330882173	Judge20120304053914	96	127	1	0.0
1330882173	Judge20120304053914	31	98	1	0.0
1330882173	Judge20120304053914	8	96	1	0.0
1330882173	Judge20120304053914	65	14	1	0.0
1330882173	Judge20120304053914	73	85	1	0.0
1330882173	Judge20120304053914	7	95	1	0.0
1330882173	Judge20120304053914	113	167	1	0.0
1330882173	Judge20120304053914	87	41	2	0.0
1330882173	Judge20120304053914	53	36	2	0.0
1330882173	Judge20120304053914	60	111	1	0.0
1330882173	Judge20120304053914	88	15	1	0.0
1330882173	Judge20120304053914	40	101	1	0.0
1330882173	Judge20120304053914	74	50	2	0.0
1330882173	Judge20120304053914	20	45	1	0.0
1330882173	Judge20120304053914	100	21	1	0.0
1330882173	Judge20120304053914	97	89	2	0.0
1330882173	Judge20120304053914	67	110	2	0.0
1330882173	Judge20120304053914	64	37	1	0.0
1330882173	Judge20120304053914	79	30	2	0.0
1330882173	Judge20120304053914	37	99	2	0.0
1330882173	Judge20120304053914	80	157	2	0.0
1330882173	Judge20120304053914	15	68	1	0.0
1330882173	Judge20120304053914	76	118	1	0.0
1330882173	Judge20120304053914	48	156	1	0.0
1330882173	Judge20120304053914	41	53	1	0.0
1330882173	Judge20120304053914	114	73	1	0.0
Topic	judge	user	keypad	vote	speed
1330882204	Judge20120304053914	33	113	1	0.0
1330882204	Judge20120304053914	113	167	1	0.0
1330882204	Judge20120304053914	104	166	1	0.0
1330882204	Judge20120304053914	73	85	2	0.0
1330882204	Judge20120304053914	45	61	1	0.0
1330882204	Judge20120304053914	24	76	1	0.0
1330882204	Judge20120304053914	71	171	2	0.0
1330882204	Judge20120304053914	93	55	1	0.0
1330882204	Judge20120304053914	76	118	1	0.0
